29,53.941,3.5,919.5,1,
29,29,3.5,923.24,1,
76.1,29,3.5,930.31,1,
79.707,28.293,3.5,930.86,1,
79,31.9,3.5,931.41,1,
79,79,3.5,938.47,1,
31.9,79,3.5,945.54,1,
28.293,79.707,3.5,946.09,1,
29,76.1,3.5,946.64,1,
29,54.019,3.5,949.95,0,
29,54.019,23.5,950.55,0,
29,0.031526,23.5,952.17,0,
29,0.031526,3.5,952.77,1,
29,-25,3.5,956.53,1,
76.1,-25,3.5,963.59,1,
79.707,-25.707,3.5,964.14,1,
79,-22.1,3.5,964.7,1,
79,22.1,3.5,971.33,1,
79.707,25.707,3.5,971.88,1,
76.1,25,3.5,972.43,1,
31.9,25,3.5,979.06,1,
28.293,25.707,3.5,979.61,1,
29,22.1,3.5,980.16,1,
29,0.031526,3.5,983.47,0,
29,0.031526,23.5,984.07,0,
-25,54.019,23.5,986.36,0,
-25,54.019,3.5,986.96,1,
-25,29,3.5,990.71,1,
22.1,29,3.5,997.78,1,
25.707,28.293,3.5,998.33,1,
25,31.9,3.5,998.88,1,
25,76.1,3.5,1005.5,1,
25.707,79.707,3.5,1006.1,1,
22.1,79,3.5,1006.6,1,
-22.1,79,3.5,1013.2,1,
-25.707,79.707,3.5,1013.8,1,
-25,76.1,3.5,1014.3,1,
-25,54.031,3.5,1017.7,1,
-25,54.019,3.5,1017.7,0,
-25,54.019,23.5,1018.3,0,
-25,-3.1608,23.5,1020,0,
-25,-3.1608,3.5,1020.6,1,
-25,-25,3.5,1023.9,1,
22.1,-25,3.5,1030.9,1,
25.707,-25.707,3.5,1031.5,1,
25,-22.1,3.5,1032,1,
25,25,3.5,1039.1,1,
-22.1,25,3.5,1046.1,1,
-25.707,25.707,3.5,1046.7,1,
-25,22.1,3.5,1047.3,1,
-25,0.029525,3.5,1050.6,1,
-25,-3.1608,3.5,1051,0,
-25,-3.1608,23.5,1051.6,0,
-25,-54,23.5,1053.2,0,
-25,-54,3.5,1053.8,1,
-25,-76.1,3.5,1057.1,1,
-25.707,-79.707,3.5,1057.6,1,
-22.1,-79,3.5,1058.2,1,
22.1,-79,3.5,1064.8,1,
25.707,-79.707,3.5,1065.4,1,
25,-76.1,3.5,1065.9,1,
25,-29,3.5,1073,1,
-22.1,-29,3.5,1080,1,
-25.707,-28.293,3.5,1080.6,1,
-25,-31.9,3.5,1081.1,1,
-25,-54,3.5,1084.5,0,
-25,-54,23.5,1085.1,0,
-83,0,23.5,1087.4,0,
-83,0,3.5,1088,1,
-83,-83,3.5,1100.5,1,
83,-83,3.5,1125.4,1,
83,83,3.5,1150.3,1,
-83,83,3.5,1175.2,1,
-83,0,3.5,1187.6,0,
-83,0,23.5,1188.2,0,
-79,-53.982,23.5,1189.9,0,
-79,-53.982,3.5,1190.5,1,
-79,-79,3.5,1194.2,1,
-31.9,-79,3.5,1201.3,1,
-28.293,-79.707,3.5,1201.8,1,
-29,-76.1,3.5,1202.4,1,
-29,-29,3.5,1209.5,1,
-76.1,-29,3.5,1216.5,1,
-79.632,-28.368,3.5,1217.1,1,
-79,-31.9,3.5,1217.6,1,
-79,-53.982,3.5,1220.9,0,
-79,-53.982,23.5,1221.5,0,
29,-54,25.25,1222.1,0,
29,-54,5.25,1222.7,1,
29,-76.1,5.25,1226,1,
28.293,-79.707,5.25,1226.6,1,
31.9,-79,5.25,1227.1,1,
79,-79,5.25,1234.2,1,
79,-31.9,5.25,1241.3,1,
79.632,-28.368,5.25,1241.8,1,
76.1,-29,5.25,1242.3,1,
31.9,-29,5.25,1249,1,
28.293,-28.293,5.25,1249.5,1,
29,-31.9,5.25,1250.1,1,
29,-54,5.25,1253.4,0,
29,-54,25.25,1254,0,
-79,-1.78E-15,25.25,1257.6,0,
-79,-1.78E-15,5.25,1258.2,1,
-79,-22.1,5.25,1261.5,1,
-79.707,-25.707,5.25,1262.1,1,
-76.1,-25,5.25,1262.6,1,
-31.9,-25,5.25,1269.2,1,
-28.352,-25.695,5.25,1269.8,1,
-28.293,-25.707,5.25,1269.8,1,
-29,-22.1,5.25,1270.3,1,
-29,25,5.25,1277.4,1,
-76.1,25,5.25,1284.5,1,
-79.707,25.707,5.25,1285,1,
-79,22.1,5.25,1285.6,1,
-79,-1.78E-15,5.25,1288.9,0,
-79,-1.78E-15,25.25,1289.5,0,
-79,54.019,25.25,1291.1,0,
-79,54.019,5.25,1291.7,1,
-79,31.9,5.25,1295,1,
-79.707,28.293,5.25,1295.6,1,
-76.1,29,5.25,1296.1,1,
-31.9,29,5.25,1302.8,1,
-28.293,28.293,5.25,1303.3,1,
-29,31.9,5.25,1303.9,1,
-29,76.1,5.25,1310.5,1,
-28.293,79.707,5.25,1311.1,1,
-31.9,79,5.25,1311.6,1,
-79,79,5.25,1318.7,1,
-79,54.019,5.25,1322.4,0,
-79,54.019,25.25,1323,0,
29,54.019,25.25,1326.3,0,
29,54.019,5.25,1326.9,1,
29,53.941,5.25,1326.9,1,
29,29,5.25,1330.6,1,
76.1,29,5.25,1337.7,1,
79.707,28.293,5.25,1338.2,1,
79,31.9,5.25,1338.8,1,
79,79,5.25,1345.8,1,
31.9,79,5.25,1352.9,1,
28.293,79.707,5.25,1353.5,1,
29,76.1,5.25,1354,1,
29,54.019,5.25,1357.3,0,
29,54.019,25.25,1357.9,0,
29,0.031526,25.25,1359.5,0,
29,0.031526,5.25,1360.1,1,
29,-25,5.25,1363.9,1,
76.1,-25,5.25,1371,1,
79.707,-25.707,5.25,1371.5,1,
79,-22.1,5.25,1372.1,1,
79,22.1,5.25,1378.7,1,
79.707,25.707,5.25,1379.2,1,
76.1,25,5.25,1379.8,1,
31.9,25,5.25,1386.4,1,
28.293,25.707,5.25,1387,1,
29,22.1,5.25,1387.5,1,
29,0.031526,5.25,1390.8,0,
29,0.031526,25.25,1391.4,0,
-25,54.019,25.25,1393.7,0,
-25,54.019,5.25,1436,1,42.3
-25,29,5.25,1439.8,1,
22.1,29,5.25,1446.8,1,
25.707,28.293,5.25,1447.4,1,
25,31.9,5.25,1448,1,
25,76.1,5.25,1454.6,1,
25.707,79.707,5.25,1455.1,1,
22.1,79,5.25,1455.7,1,
-22.1,79,5.25,1462.3,1,
-25.707,79.707,5.25,1462.9,1,
-25,76.1,5.25,1463.4,1,
-25,54.031,5.25,1466.7,1,
-25,54.019,5.25,1466.7,0,
-25,54.019,25.25,1467.3,0,
-25,-3.1608,25.25,1469,0,
-25,-3.1608,5.25,1469.6,1,
-25,-25,5.25,1472.9,1,
22.1,-25,5.25,1480,1,
25.707,-25.707,5.25,1480.5,1,
25,-22.1,5.25,1481.1,1,
25,25,5.25,1488.2,1,
-22.1,25,5.25,1495.2,1,
-25.707,25.707,5.25,1495.8,1,
-25,22.1,5.25,1496.3,1,
-25,0.029525,5.25,1499.6,1,
-25,-3.1608,5.25,1500.1,0,
-25,-3.1608,25.25,1500.7,0,
-25,-54,25.25,1502.2,0,
-25,-54,5.25,1502.8,1,
-25,-76.1,5.25,1506.1,1,
-25.707,-79.707,5.25,1506.7,1,
-22.1,-79,5.25,1507.3,1,
22.1,-79,5.25,1513.9,1,
25.707,-79.707,5.25,1514.4,1,
25,-76.1,5.25,1515,1,
25,-29,5.25,1522,1,
-22.1,-29,5.25,1529.1,1,
-25.707,-28.293,5.25,1529.7,1,
-25,-31.9,5.25,1530.2,1,
-25,-54,5.25,1533.5,0,
-25,-54,25.25,1534.1,0,
