29,54.019,25.25,1451.1,0,,
29,54.019,5.25,1451.7,1,,
29,53.941,5.25,1451.7,1,,
29,29,5.25,1455.5,1,,
76.1,29,5.25,1462.6,1,,
79.707,28.293,5.25,1463.1,1,,
79,31.9,5.25,1463.7,1,,
79,79,5.25,1470.7,1,,
31.9,79,5.25,1477.8,1,,
28.293,79.707,5.25,1478.3,1,,
29,76.1,5.25,1478.9,1,,
29,54.019,5.25,1482.2,0,,
29,54.019,25.25,1482.8,0,,
-25,-54,25.25,1486.4,0,,
-25,-54,5.25,1487,1,,
-25,-76.1,5.25,1490.3,1,,
-25.707,-79.707,5.25,1490.9,1,,
-22.1,-79,5.25,1491.4,1,,
22.1,-79,5.25,1498.1,1,,
25.707,-79.707,5.25,1498.6,1,,
25,-76.1,5.25,1499.2,1,,
25,-29,5.25,1506.2,1,,
-22.1,-29,5.25,1513.3,1,,
-25.707,-28.293,5.25,1513.9,1,,
-25,-31.9,5.25,1514.4,1,,
-25,-54,5.25,1517.7,0,,
-25,-54,25.25,1518.3,0,,
-79,54.019,25.25,1521.9,0,,
-79,54.019,5.25,1522.5,1,,
-79,31.9,5.25,1525.9,1,,
-79.707,28.293,5.25,1526.4,1,,
-76.1,29,5.25,1527,1,,
-31.9,29,5.25,1533.6,1,,
-28.293,28.293,5.25,1534.1,1,,
-29,31.9,5.25,1534.7,1,,
-29,76.1,5.25,1541.3,1,,
-28.293,79.707,5.25,1541.9,1,,
-31.9,79,5.25,1542.4,1,,
-79,79,5.25,1549.5,1,,
-79,54.019,5.25,1553.2,0,,
-79,54.019,25.25,1553.8,0,,
-79,-53.982,25.25,1557.1,0,,
-79,-53.982,5.25,1557.7,1,,
-79,-79,5.25,1561.4,1,,
-31.9,-79,5.25,1568.5,1,,
-28.293,-79.707,5.25,1569,1,,
-29,-76.1,5.25,1569.6,1,,
-29,-29,5.25,1576.7,1,,
-76.1,-29,5.25,1583.7,1,,
-79.632,-28.368,5.25,1584.3,1,,
-79,-31.9,5.25,1584.8,1,,
-79,-53.982,5.25,1588.1,0,,
-79,-53.982,25.25,1588.7,0,,
-79,-1.78E-15,25.25,1590.3,0,,
-79,-1.78E-15,5.25,1590.9,1,,
-79,-22.1,5.25,1594.3,1,,
-79.707,-25.707,5.25,1594.8,1,,
-76.1,-25,5.25,1595.4,1,,
-31.9,-25,5.25,1602,1,,
-28.352,-25.695,5.25,1602.5,1,,
-28.293,-25.707,5.25,1602.5,1,,
-29,-22.1,5.25,1603.1,1,,
-29,25,5.25,1610.2,1,,
-76.1,25,5.25,1617.2,1,,
-79.707,25.707,5.25,1617.8,1,,
-79,22.1,5.25,1618.3,1,,
-79,-1.78E-15,5.25,1621.6,0,,
-79,-1.78E-15,25.25,1622.2,0,,
-25,0.029525,25.25,1623.9,0,,
-25,0.029525,5.25,1624.5,1,,
-25,-25,5.25,1628.2,1,,
22.1,-25,5.25,1635.3,1,,
25.707,-25.707,5.25,1635.8,1,,
25,-22.1,5.25,1636.4,1,,
25,25,5.25,1643.4,1,,
-22.1,25,5.25,1650.5,1,,
-25.707,25.707,5.25,1651.1,1,,
-25,22.1,5.25,1651.6,1,,
-25,0.029525,5.25,1654.9,0,,
-25,0.029525,25.25,1655.5,0,,
-25,54.019,27,1656.1,0,,
-25,54.019,7,1656.7,1,,
-25,29,7,1660.5,1,,
22.1,29,7,1667.5,1,,
25.707,28.293,7,1668.1,1,,
25,31.9,7,1668.6,1,,
25,76.1,7,1675.3,1,,
25.707,79.707,7,1675.8,1,,
22.1,79,7,1676.4,1,,
-22.1,79,7,1683,1,,
-25.707,79.707,7,1683.6,1,,
-25,76.1,7,1684.1,1,,
-25,54.031,7,1687.4,1,,
-25,54.019,7,1687.4,0,,
-25,54.019,27,1688,0,,
29,0.031526,27,1690.3,0,,
29,0.031526,7,1690.9,1,,
29,-25,7,1694.7,1,,
76.1,-25,7,1701.7,1,,
79.707,-25.707,7,1702.3,1,,
79,-22.1,7,1702.8,1,,
79,22.1,7,1709.5,1,,
79.707,25.707,7,1710,1,,
76.1,25,7,1710.6,1,,
31.9,25,7,1717.2,1,,
28.293,25.707,7,1717.7,1,,
29,22.1,7,1718.3,1,,
29,0.031526,7,1721.6,0,,
29,0.031526,27,1722.2,0,,
29,-54,27,1723.8,0,,
29,-54,7,1724.4,1,,
29,-76.1,7,1727.7,1,,
28.293,-79.707,7,1728.3,1,,
31.9,-79,7,1728.8,1,,
79,-79,7,1735.9,1,,
79,-31.9,7,1743,1,,
79.632,-28.368,7,1743.5,1,,
76.1,-29,7,1744.1,1,,
31.9,-29,7,1750.7,1,,
28.293,-28.293,7,1751.2,1,,
29,-31.9,7,1751.8,1,,
29,-54,7,1755.1,0,,
29,-54,27,1755.7,0,,
-83,0,27,1759.4,0,,
-83,0,7,1760,1,,
-83,-83,7,1772.5,1,,
83,-83,7,1797.4,1,,
83,83,7,1822.3,1,,
-83,83,7,1847.2,1,,
-83,0,7,1859.6,0,,
-83,0,27,1860.2,0,,
29,54.019,27,1864,0,,
29,54.019,7,1864.6,1,,
29,53.941,7,1864.6,1,,
29,29,7,1868.3,1,,
76.1,29,7,1875.4,1,,
79.707,28.293,7,1875.9,1,,
79,31.9,7,1876.5,1,,
79,79,7,1883.5,1,,
31.9,79,7,1890.6,1,,
28.293,79.707,7,1891.2,1,,
29,76.1,7,1891.7,1,,
29,54.019,7,1895,0,,
29,54.019,27,1895.6,0,,
-25,-54,27,1899.3,0,,
-25,-54,7,1899.9,1,,
-25,-76.1,7,1903.2,1,,
-25.707,-79.707,7,1903.7,1,,
-22.1,-79,7,1904.3,1,,
22.1,-79,7,1910.9,1,,
